               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.026171,            0.005097,           0.0026129,             0.94873,                0.95,             0.98667,             0.84598,            0.014187,           0.0039514,           0.0017864,           0.0098178,           0.0098178,           0.0098178
                  94,            0.024787,           0.0052538,           0.0022903,             0.87684,             0.99138,               0.995,             0.83478,            0.013167,           0.0032923,           0.0019733,           0.0098159,           0.0098159,           0.0098159
                  95,            0.025723,           0.0052303,           0.0023312,             0.93779,             0.90226,             0.98667,             0.86025,            0.014286,           0.0037472,           0.0019247,           0.0098139,           0.0098139,           0.0098139
                  96,            0.024341,           0.0052174,           0.0025186,             0.89818,             0.93977,             0.98667,             0.85506,             0.01312,           0.0035444,           0.0018316,           0.0098119,           0.0098119,           0.0098119
                  97,            0.025415,           0.0052449,           0.0024343,             0.95794,             0.91067,               0.995,             0.87943,            0.014962,           0.0033834,           0.0018936,           0.0098099,           0.0098099,           0.0098099
                  98,             0.02588,           0.0049892,           0.0022557,             0.92291,                   1,               0.995,             0.81159,             0.01478,           0.0033265,           0.0019429,           0.0098079,           0.0098079,           0.0098079
                  99,            0.024646,           0.0051125,           0.0023395,             0.94789,             0.96546,               0.995,             0.83549,            0.013997,           0.0032024,           0.0018087,            0.009806,            0.009806,            0.009806
                 100,            0.024663,           0.0051941,           0.0020715,             0.92302,             0.94232,             0.98667,             0.84257,            0.014204,           0.0035076,            0.001839,            0.009804,            0.009804,            0.009804
                 101,            0.024297,           0.0050337,           0.0022448,             0.93929,             0.89126,             0.97833,             0.81459,            0.012031,           0.0036636,           0.0022029,            0.009802,            0.009802,            0.009802
                 102,            0.023626,           0.0050694,           0.0019455,             0.89502,             0.93595,             0.98667,             0.87366,            0.011949,             0.00322,           0.0026495,              0.0098,              0.0098,              0.0098
                 103,            0.024882,           0.0051199,           0.0020976,             0.94428,                0.85,                0.97,             0.80522,             0.01371,           0.0038852,            0.002309,            0.009798,            0.009798,            0.009798
                 104,            0.023591,           0.0049999,           0.0020694,             0.96277,             0.86161,             0.97833,             0.80104,            0.013828,           0.0038679,           0.0018705,           0.0097961,           0.0097961,           0.0097961
                 105,            0.024066,            0.004949,           0.0020299,             0.96127,                0.85,                0.97,             0.85669,            0.013489,           0.0038822,           0.0018283,           0.0097941,           0.0097941,           0.0097941
                 106,            0.023754,           0.0047798,           0.0022436,             0.96868,              0.8553,             0.98667,             0.84125,            0.012574,           0.0037836,           0.0019047,           0.0097921,           0.0097921,           0.0097921
                 107,            0.024277,           0.0050454,           0.0023043,             0.96731,             0.86247,             0.98667,             0.83769,            0.013451,           0.0033024,           0.0018588,           0.0097901,           0.0097901,           0.0097901
